dt,open,high,low,close,volume
2025-03-06,493.690002,498.579987,486.200012,488.200012,57574300
2025-03-07,487.160004,493.279999,480.529999,491.790009,54714700
2025-03-10,483.450012,483.970001,468.660004,472.730011,76668000
2025-03-11,472.350006,478.809998,467.01001,471.600006,68760800
2025-03-12,479.160004,481.059998,471.790009,476.920013,46971100
2025-03-13,476.25,476.279999,466.429993,468.339996,46563300
2025-03-14,473.730011,480.559998,473.119995,479.660004,43563000
2025-03-17,479.609985,485.839996,477.799988,482.769989,41744400
2025-03-18,479.410004,479.609985,472.410004,474.540009,39072300
2025-03-19,476.809998,485.329987,474.869995,480.890015,40430300
2025-03-20,476.880005,484.549988,476.179993,479.26001,36780500
2025-03-21,474.079987,481.609985,472.910004,480.839996,42234900
2025-03-24,487.73999,491.51001,484.399994,490.660004,34567200
2025-03-25,491.390015,493.619995,490.420013,493.459991,26035200
2025-03-26,492.299988,493.160004,482.820007,484.380005,34627100
2025-03-27,482.410004,486.579987,480.25,481.619995,33469800
2025-03-28,479.809998,480.519989,468.049988,468.940002,46363800
2025-03-31,461.920013,469.859985,457.329987,468.920013,53000300
2025-04-01,467.299988,473.630005,464.420013,472.700012,41156200
2025-04-02,466.119995,479.559998,465.859985,476.149994,49894500
2025-04-03,456.440002,460.070007,450.140015,450.660004,70456300
2025-04-04,438.140015,440.369995,422.670013,422.670013,117088400
2025-04-07,408.660004,443.140015,402.390015,423.690002,161557000
2025-04-08,438.160004,443.140015,409.790009,416.059998,101248100
2025-04-09,415.570007,467.829987,415.429993,466.0,142876900
2025-04-10,453.559998,455.589996,432.630005,446.179993,108384100
2025-04-11,444.649994,455.790009,441.329987,454.399994,52483800
2025-04-14,464.459991,465.049988,452.630005,457.480011,43941200
2025-04-15,458.540009,462.380005,456.149994,457.98999,35404200
2025-04-16,449.029999,452.619995,437.76001,444.179993,48980600
2025-04-17,447.170013,447.75,441.359985,444.100006,44837000
2025-04-21,438.230011,439.079987,427.929993,433.109985,44149300
2025-04-22,438.820007,447.579987,437.619995,444.480011,52304400
2025-04-23,458.170013,463.380005,452.880005,454.559998,55801100
2025-04-24,456.480011,467.660004,455.829987,467.350006,45956100
2025-04-25,466.970001,473.089996,465.390015,472.559998,38697100
2025-04-28,473.029999,474.809998,466.029999,472.410004,33550800
2025-04-29,470.170013,476.420013,469.589996,475.529999,30613100
2025-04-30,467.130005,477.200012,462.429993,475.470001,46810600
2025-05-01,483.410004,487.179993,480.73999,481.679993,43316500
2025-05-02,486.540009,490.910004,484.829987,488.829987,39218100
2025-05-05,484.600006,489.029999,484.100006,485.929993,28309500
2025-05-06,479.559998,485.049988,478.190002,481.410004,32786300
2025-05-07,482.079987,485.799988,476.779999,483.299988,38006300
2025-05-08,488.529999,492.700012,484.170013,488.290009,39577600
2025-05-09,490.209991,491.540009,486.200012,487.970001,27767400
2025-05-12,506.98999,507.890015,501.480011,507.850006,45090600
2025-05-13,509.160004,517.390015,508.420013,515.590027,53269600
2025-05-14,516.77002,519.22998,515.75,518.679993,47014500
2025-05-15,516.52002,521.929993,515.169983,519.25,50153300
2025-05-16,520.659973,521.700012,517.099976,521.51001,48394600
2025-05-19,514.23999,522.530029,514.23999,522.01001,52536200
2025-05-20,519.469971,520.929993,516.659973,520.27002,42517600
2025-05-21,516.27002,523.0,511.23999,513.039978,71292800
2025-05-22,513.659973,517.710022,512.299988,514.0,55607200
2025-05-23,506.179993,511.839996,505.579987,509.23999,58368100
2025-05-27,516.150024,521.710022,514.590027,521.219971,47226300
2025-05-28,522.179993,523.679993,518.390015,518.909973,46637200
2025-05-29,526.330017,526.47998,517.320007,519.929993,58513300
2025-05-30,519.440002,520.679993,511.929993,519.109985,67662800
2025-06-02,517.23999,523.450012,515.969971,523.210022,44762800
2025-06-03,523.559998,528.73999,522.690002,527.299988,44070300
2025-06-04,528.01001,529.840027,525.969971,528.77002,41359300
2025-06-05,530.179993,533.049988,522.659973,524.789978,61031200
2025-06-06,530.0,531.799988,528.210022,529.919983,42467000
2025-06-09,530.140015,532.349976,529.01001,530.700012,33688700
2025-06-10,531.169983,534.900024,528.890015,534.210022,40664800
2025-06-11,535.619995,536.780029,530.109985,532.409973,53701000
2025-06-12,531.090027,534.640015,530.840027,533.659973,34104900
2025-06-13,527.679993,531.869995,525.72998,526.960022,55814400
2025-06-16,530.5,535.369995,530.450012,534.289978,37622100
2025-06-17,531.710022,533.330017,527.909973,529.080017,42180900
2025-06-18,530.099976,532.549988,527.400024,528.98999,43983500
2025-06-20,532.26001,533.559998,524.880005,526.830017,61643500
2025-06-23,526.809998,532.169983,523.650024,531.650024,50666100
2025-06-24,536.890015,540.700012,536.27002,539.780029,45442000
2025-06-25,542.059998,543.309998,539.380005,541.159973,44804200
2025-06-26,543.349976,546.669983,541.52002,546.219971,43811400
2025-06-27,547.26001,549.98999,544.539978,548.090027,57577100
2025-06-30,551.26001,552.799988,549.01001,551.640015,45548700
2025-07-01,549.72998,550.710022,544.659973,546.98999,56166700
2025-07-02,546.159973,551.0,546.119995,550.799988,36538300
2025-07-03,553.179993,557.200012,553.179993,556.219971,26443500
2025-07-07,553.52002,554.340027,549.580017,552.030029,45349300
2025-07-08,553.380005,554.01001,551.099976,552.340027,36153300
2025-07-09,554.47998,557.630005,553.099976,556.25,43045500
2025-07-10,556.890015,557.299988,552.75,555.450012,34710900
2025-07-11,553.299988,555.789978,552.049988,554.200012,39618600
2025-07-14,553.98999,556.950012,551.630005,556.210022,36453300
2025-07-15,560.25,560.799988,556.659973,556.719971,43277700
2025-07-16,557.280029,560.210022,551.559998,557.289978,52314700
2025-07-17,558.02002,562.309998,557.210022,561.799988,40423800
2025-07-18,563.119995,564.72998,559.97998,561.26001,50484700
2025-07-21,562.090027,566.059998,562.059998,564.169983,39595200
2025-07-22,564.299988,564.349976,558.609985,561.25,43270600
2025-07-23,562.340027,563.849976,559.580017,563.809998,40215300
2025-07-24,565.130005,566.23999,563.289978,565.01001,42275500
2025-07-25,564.929993,567.700012,564.27002,566.369995,30630800
